id,section,code,description,values,default,checkall,help,depends
code_11,Experimental Design,N_conditions,How many **experimental conditions** are there?,,,,"This can sometimes be reported as different combinations of factors, e.g. 2 by 2, or it may involve the number of alternatives to a single 'paradigm'.",
code_12,Experimental Design,N_conditions_reported,Was the **total number of conditions explicitly reported**?,Yes; No,,,Here we're looking for the study to state very clear exactly how many conditions were used.,
code_13,Experimental Design,N_items_per_condition,How many **target items are there per experimental condition**?,,,,"This is not always clearly reported, and you may need to do some calculation to determine this. If unsure, put ""Not Reported""",
code_14,Experimental Design,design_type,Did the study use a **within-subjects** or **between-subjects** design?,Within-subjects; Between-subjects; Mixed; Not Reported,Within-subjects,,"Most studies are within-subjects designs, but some may examine different conditions or social groups.",
code_15,Experimental Design,between_subj_condition,"If the study used a **between-subjects or mixed** design, what was the **comparison condition(s)**?",,NA,,"This is the condition against which groups of participants are compared. This could involve randomly assigned experimental conditions or demographic groups (e.g. gender, age, education level). A between-subject design can also be used to reduce the number of items per participant (e.g. the list of stimuli could be split in half to create two conditions).",between_subjects
code_16,Experimental Design,balanced_items,Were the stimili **balanced across acceptability levels**?,Yes; Not Reported,Not Reported,,"If the study has, e.g., 3 levels of acceptability, were there equal numbers of items for each level?",
code_17,Experimental Design,exp_blocking,How were the **experimental trials organized** for presentation?,Intermixed; Blocks; Not Reported,Not Reported,,"""Intermixed"" is used for trials that are not grouped in any way (and thus usually presented fully randomized). ""Blocks"" is used liberally to characterised sets of experimental trials that are similar to each other in some way and are presented as a group. This can involve groups based on different conditions or groups based on 'paradigms' or sets of questions asking about a single sentence.",
code_18,Experimental Design,randomization,Were items presented in a **fixed or (semi-)random order** across participants?,Fixed; Semi-random; Random; Not Reported,Not Reported,,This applies to order within blocks or across blocks.,
code_19,Experimental Design,N_trials_per_participant,Total number of experimental **trials per participant** (not including pre- or post-test):,,,,This will be equivalent to the total number of items in cases where participants saw all items (common in within-subjects designs).,
code_20,Experimental Design,N_pre-test,"Number of **pre-test** trials, if any:",,0,,These can be practice trials or any other preparatory trials. ,
code_21,Experimental Design,N_post-test,"Number of **post-test** trials, if any:",,0,,"This is uncommon, and we will assume a study did **not** include any if it is not mentioned.",
code_22,Experimental Design,multiple_tasks,Did the study compare results of **multiple judgment tasks of the same items** to test different task features / conditions? ,Yes; Not Reported,Not Reported,,"This is only ""Yes"" if the exact same items were involved in different tasks, e.g. forced choice vs. likert scale.",
code_23,Experimental Design,confidence_design,How **confident** are you in your annotations of the Experimental Design?,Not confident at all; Slightly confident; Fairly confident; Very confident ,,,,
code_24,Stimuli,N_target_items,Number of **target items** created for the study *not* including fillers or distractors:,,,,"Some studies do not use distractors, however it may not always be clear. If fillers or disctractors are not mentioned, and it is not explicitly stated that they were not used, enter ""Not Reported"".",
code_25,Stimuli,N_target_items_per_participant,Total number of **target items** judged **per participant**:,,,,This will be equivalent to the total number of target items in cases where participants saw all target items. The total number of target items will be the default unless explicitly specified.,
code_26,Stimuli,N_fillers,"Number of **filler or distractor** items, if any:",,Not Reported,,"Many older studies may not use fillers, or it may be unclear.",
code_27,Stimuli,N_items_reported,Was the **total number of items explicitly reported**?,Yes; No,,,Here we're looking for the study to state very clear exactly how many items were used (this is rarer than you'd think…),
code_28,Stimuli,linguistic_phenomenon,"What was the general **level of linguistic phenomenon** investigated (syntax, morphology, lexis,…)?",Syntax; Morphology; Lexis; Semantics; Phonology; Other; Not Reported,Syntax,yes,"This may not be very clear, so aim for the most general level.",
code_29,Stimuli,item_construction,Were the **items constructed by the researchers** or based on authentic materials?,Fully Constructed; Fully Authentic; Edited Authentic; Not Reported,Not Reported,,"Typically these are fully constructed, but this is not often reported explicitly, in which case enter ""Not Reported"". ""Edited authentic"" is any item that was taken from natural corpora and then edited.",
code_30,Stimuli,item_balance,"Were the **items balanced/controlled for internal features** that were *not* the focus of investigation, e.g. frequency, length, etc.?",Frequency; Length; Semantics; Other; Not Reported,Not Reported,yes,"This is uncommon, but includes any potentially confounding information that the authors controlled for in their stimuli.",
code_31,Stimuli,item_plausibility,Were **items pilot-tested or normed** in any way?,Yes; Not Reported,Not Reported,,"This refers to prior testing of the items for plausibility, acceptability, or other factors, **not** to the task itself.",
code_32,Stimuli,contextualization,Were items presented with **additional context**?,Yes; No; Not Reported,Not Reported,,"This may include preceding or following text / audio, or items embedded within larger contexts (e.g. paragraphs). Isolated sentences are just coded as ""No"".",
code_33,Stimuli,confidence_stimuli,How **confident** are you in your annotations of the Stimulus Items?,Not confident at all; Slightly confident; Fairly confident; Very confident ,,,,
code_34,Task,instructions,What **instructions** were given to the participants? Copy verbatim if possible.,,Not Reported,,"If possible include the verbatim text used. If the explicit instructions are not included, quote any section of the paper that describes what participants were asked to do.",
code_35,Task,rating_terminology,"What **terminology** did the authors use to refer to their judgment task with participants (e.g. ""rate how acceptable / natural /… each sentence is"")? ",acceptability; naturalness; grammaticality; appropriateness; correctness; difficulty; plausibility; other; Not Reported,Not Reported,yes,This is usually found in the instructions provided to participants.,
code_36,Task,response_scale,What was the **scale** of participants' responses?,Dichotomous (Binary); Ordinal (Likert); Continuous; Not Reported,Not Reported,,"Forced choice studies are Dichonotmous. Likert scales are ordinal, and other studies using magnitude estimation, thermometer ratings, points, sliders, or line marking are considered continuous. ",
code_37,Task,response_levels,"How many **levels of acceptability** were used (2, 7, 100, …)?",,,,"Continuous scales often use 100. For visual estimation (putting marks on a line), put ""VZ"". For magnitude estimation, where the scales are often determined by the particiapnt, put ""ME"" ",
code_38,Task,response_comparison,Were items evaluated in **isolation or against a comparison item or baseline** (e.g. magnitude estimation)?,Isolation; Magnitude Estimation; Variant Comparison; Other baseline; Not Reported ,Isolation,,Most studies ask for evaluation in isolation. Magnitude estimation relies on comparison against a baseline item. Other studies many ask participants to choose between alternatives.,
code_39,Task,presentation_modality,What **modality** was the judgment task delivered in?,Written; Audio; Visual (not written); Mixed; Not Reported,Written,,"Typically these are in written text, but if this is not explicitly stated then we mark ""Not Reported"" ",
code_40,Task,task_review,Were participants **able to review and/or change** their ratings?,Yes; No; Not Reported,Not Reported,,"Usually not, but this is seldom reported.",
code_41,Task,task_timing,"Were items presented in a **fixed or variable amount of time**, or was the presentation **self-paced**?",Fixed; Variable; Self-paced; Not Reported,Not Reported,,Some studies may use speeded judgment tasks. Most are self-paced but this is not always explicitly stated.,
code_42,Task,delivery_format,How were item **responses** recorded?,Computer-based; Paper; Spoken/Signed; Not Reported,Not Reported,,"This is usually clear from how the study was distributed, but may not be as clear in older studies.",
code_43,Task,task_duration,Was the **task duration** recorded?,Yes; Not Reported,Not Reported,,Did the study mention how long participants took (usually as an average)?,
code_44,Task,task_supervision,Was the study conducted under **supervision of the researcher** (e.g. in a lab or classroom with researcher present)?,Yes; No; Not Reported,Not Reported,,"For online studies code ""No"". For studies in a lab, classroom or other controlled setting, code ""Yes"". In older studies it may not be clear, in which case use ""Not Reported"".",
code_45,Task,pilot_testing,Was any **pilot-testing of the task** conducted?,Yes; Not Reported,Not Reported,,"This is to assess the *task*, not any norming or testing of the items (there is another code for that above).",
code_46,Task,confidence,Were participants asked to rate **confidence** of their responses?,Yes; Not Reported,Not Reported,,"Uncommon, but some studies may ask participants to provide an additional indication of how sure they are of their judgements.",
code_47,Task,breaks,What procedures were there for participant **breaks**? ,Built-in breaks; Participant-controlled; No Breaks Allowed; Not Reported,Not Reported,,"Most studies are self-paced, and hence participants control their breaks, but this is rarely reported.",
code_48,Task,comprehension,Were participants asked to answer **comprehension question(s)** during the study?,Yes; Not Reported,Not Reported,,"The may be questions about the content of the items, or other means to check whether participants were attending to the task. ",
code_49,Task,confidence_task,How **confident** are you in your annotations of the Experimental Task?,Not confident at all; Slightly confident; Fairly confident; Very confident ,,,,
code_50,Analysis,stat_scale,"Was the response analysed as a **continuous scale, an ordinal factor, or dichotomous value**?",Continuous; Ordinal; Dichotomous; Other; Not Reported,,,"Ordinal (Likert scale) data are often treated as continuous variables for the purpose of analysis. This is usually evident in the statistical tests used, e.g. means/medians, t-tests or linear regression. Dichotomous data may be presented as proportions or percentages.",
code_51,Analysis,preprocessing,"Was there any **preprocessing** of the ratings data, e.g. standardizaton or other transformations?",Z-score; Centering; Log Transform; Other; Not Reported,Not Reported,,"Any normalization, standardization, or manipulation of the raw data counts.",
code_52,Analysis,software,What **software tools** were used for analysis?,R; SPSS; Python; Other; Not Reported,Not Reported,,"This is only for the statistical analysis of the results, **not** the software used to present the experiment.",
code_53,Analysis,statistical_test,What **statistical methods** were used to test hypotheses?,Descriptive only; ANOVA; t-test; Non-parametric test; Bayes Factor; Simple Regression; Mixed-Effects Regression; Other; Not Reported,Not Reported,,"""Descriptive only"" refers to studies that include *only* summary descriptive statistics (mean, median, standard deviation,…)",
code_54,Analysis,bayesian,Did the analysis use **Bayesian** methods?,Yes; No,No,,"Most studies do not, but when they do, it is mentioned. The most common use is Bayesian regression models, but other methods such as Bayes Factors or posterior estimation are possible.",
code_55,Analysis,random_effects,Were adjustments made for **by-participant or by-item variation** (e.g. as 'random effects' or F1 and F2 ANOVA)?,Participant; Items; Other; None; Not Reported,Not Reported,yes,"Statistical tests other than mixed-effects models or by-subjects and by-items ANOVA generally do **not** do this, but this fact is not often reported.",
code_56,Analysis,effect_sizes,Were **effect sizes** reported (see note)?,Yes; Not Reported,Not Reported,,"This is not the same as reporting t-scores, chi-square scores or F scores for ANOVA. These are **not** effect sizes. Most studies do not report effect size scores, such as Cohen's *d*, η2 for ANOVA, Cramer's V for chi-squared tests. Regression coefficients can be interpreted  as measures of effect size, however.",
code_57,Analysis,sig_threshold,What was the threshold for **statistical significance**?,.05; .01; Other; Not Reported,Not Reported,,"We can assume that the standard 0.05 level is what most studies use, however *this is rarely explicitly reported*. Some rare studies will use other values, or may eschew p-values altogether (e.g. in Bayesian statistics).",
code_58,Analysis,mult_comp_correction,Were corrections for **multiple comparisions** made?,Yes; Not Reported,Not Reported,,"Rarely necessary, but in cases of multiple experiments it may be relevant. Basically this is just here to check how often it is mentioned.",
code_60,Analysis,power_analysis,"Was any **power analysis** conducted, before or after the study?",Yes; Not Reported,Not Reported,,This is rare and will be explicitly mentioned if it is done. ,
code_59,Analysis,autocorr,Did researchers investigate **autocorrelation** of participants’ ratings? ,Yes; Not Reported,Not Reported,,"Very rarely done. If it was done, it will likely be prominently mentioned.",
code_61,Analysis,propensity,Did researchers investigate participants’ ratings **propensity** to rate higher or lower on average? ,Yes; Not Reported,Not Reported,,"Very rarely done. If it was done, it will likely be prominently mentioned.",
code_62,Analysis,other_instr,Was other data *not from a judgment rating task* used to triangulate data from judgment task?,Yes; Not Reported,Not Reported,,"This can include other psycholinguistic data (response times, self-paced reading, lexical decision, sentence completion,...) or data from corpus frequencies or probabilities. ",
code_63,Analysis,other_instr_type,"If judgments were compared to other data, what kind of other data was used?",,NA,,"If not relevant, use ""NA"".",other_instr
code_64,Analysis,confidence_analysis,How **confident** are you in your annotations of the Analysis?,Not confident at all; Slightly confident; Fairly confident; Very confident ,,,,
code_65,Transparency,item_avail,Are the stimulus **items publicly available**?,Published in article; Published in supplement; Public Repository; On Request; Not Reported,Not Reported,,"""Published in article"" is used for Appendices in the text/pdf of the article itself. Anything published in the journal as a **separate document** is coded as ""Published in supplement"". You may need to be checked on publisher's site, or look for a ""data availability"" statement or link.",
code_66,Transparency,item_repository,"If items are published elsewhere, URL of location:",,NA,,,
code_67,Transparency,data_avail,Are the **data and code** for analysis **publicly available**?,Published in article; Published in supplement; Public Repository; On Request; Not Reported,Not Reported,,"This is **not** simply summary tables but the *complete* data, i.e. every rating for every participant. You may need to be checked on publisher's site, or look for a ""data availability"" statement or link.",
code_68,Transparency,data_repository,"If data / code are published elsewhere, URL of location:",,NA,,,
code_69,Transparency,preregistration,Was the study **pre-registered**?,Yes; Not Reported,Not Reported,,This will be mentioned if it has been done (but is probably very rare).,
code_70,Transparency,prereg_repository,"If the study was pre-registered, URL of location:",,NA,,,
code_71,Transparency,corresp_author,Contact information of corresponding author:,,,,,
code_99,Comments,coder_comments,"Additional notes, uncertainties, or observations by the coder.",,,,Please just describe in plain language any irregularities or difficulties you have.,
code_00,Coder,coder_id,"Coder ID (JG, DD, LR, FX, MJ)",,,,Just use our initials to keep it simple,
