article_index,experiment_number,author,year,title,journal,url,searchterms,N_participants_recruited,N_participants_after_filtering,N_participants_per_item,part_profile,part_recruitment,compensation,demographics_reported,language,N_experiments,experiment_num_orig,N_conditions,N_conditions_reported,N_items_per_condition,design_type,between_subj_condition,balanced_items,exp_blocking,randomization,N_trials_per_participant,N_pre-test,N_post-test,multiple_tasks,confidence_design,N_target_items,N_target_items_per_participant,N_fillers,N_items_reported,linguistic_phenomenon,item_construction,item_balance,item_plausibility,contextualization,confidence_stimuli,instructions,rating_terminology,response_scale,response_levels,response_comparison,presentation_modality,task_review,task_timing,delivery_format,task_duration,task_supervision,pilot_testing,confidence,breaks,comprehension,confidence_task,stat_scale,preprocessing,software,statistical_test,bayesian,random_effects,effect_sizes,sig_threshold,mult_comp_correction,power_analysis,autocorr,propensity,other_instr,other_instr_type,confidence_analysis,item_avail,item_repository,data_avail,data_repository,preregistration,prereg_repository,corresp_author,coder_comments,coder_id
"Bîlbîie, Fuente, Abeillé_2023_factivity_and_complementizer",3,Gabriela Bîlbîie; Israel De La Fuente; Anne Abeillé,2023.0,Factivity and complementizer omission in English embedded gapping,JoLinguistics,https://doi.org/10.1017/S0022226722000445,Likert scale; acceptability judgement; acceptability judgment; grammaticality judgement; grammaticality judgment; grammaticality rating; intuitive judgement; intuitive judgment; linguistic intuition judgement; linguistic intuition judgment; linguistic intuition rating; naïve rating; sentence judgement; sentence judgment; syntactic judgement; syntactic judgment,50,50,50,Not Reported,Not Reported,Not Reported,Gender / Sex; Age,Not Reported,3,3,4,Yes,20,Within-subjects,,Yes,Blocks,Not Reported,108,Unspecified,0,Not Reported,Fairly confident,80,80,28,No,Syntax,Fully Constructed,Frequency,Not Reported,Not Reported,Fairly confident," They were instructed to read the sentences carefully and to judge their acceptability by using a Likert scale, from 1 (completely unacceptable) to 7 (completely acceptable).",acceptability,Ordinal (Likert),7,Isolation,Written,No,Not Reported,Computer-based,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Yes,Fairly confident,Continuous,Not Reported,R,Mixed-Effects Regression,No,Items; Participant,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,Fairly confident,Not Reported,,Not Reported,,Not Reported,,gabriela.bilbiie@lls.unibuc.ro,,JG
Sobin_2002_the_comptrace_effect,1,Nicholas Sobin,2002.0,"The Comp-Trace Effect, the Adverb Effect and Minimal CP",JoLinguistics,http://www.jstor.org/stable/4176763,acceptability judgment; intuitive judgment; naturalness judgment; sentence judgment; syntactic judgment,11,11,11,Students (unspecified),University affiliation,Not Reported,Region,English,2,1,4,No,mixed,Within-subjects,,Not Reported,Not Reported,Random,36,Unspecified,0,Yes,Fairly confident,36,36,0,No,Syntax,Fully Constructed,Not Reported,Not Reported,Not Reported,Fairly confident,"They all were told (in preliminary written instructions which were read with them out loud) that they would judge sentences which might be classed as 'good' -a sentence that the subject might say in the right situation; 'maybe' -a sentence that the subject might not say but might expect to hear someone else say who was not making a mistake; or 'impossible' - a sentence which a native speaker of English would not say this way, even though it might be understandable.",other; plausibility,Ordinal (Likert),3,Isolation,Written,Not Reported,Not Reported,Not Reported,Not Reported,Yes,Not Reported,Not Reported,Not Reported,Not Reported,Fairly confident,Ordinal,Not Reported,Not Reported,Descriptive only,No,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,Very confident,Published in article,,Not Reported,,Not Reported,,njsobin@utep.edu,,JG
Sobin_2002_the_comptrace_effect,2,Nicholas Sobin,2002.0,"The Comp-Trace Effect, the Adverb Effect and Minimal CP",JoLinguistics,http://www.jstor.org/stable/4176763,acceptability judgment; intuitive judgment; naturalness judgment; sentence judgment; syntactic judgment,12,12,12,Students (unspecified),University affiliation,Not Reported,Region,English,2,1,4,No,mixed,Within-subjects,,Not Reported,Not Reported,Random,36,Unspecified,0,Yes,Fairly confident,36,36,0,No,Syntax,Fully Constructed,Not Reported,Not Reported,Not Reported,Fairly confident,"A second subgroup, of 12 subjects, gave naturalness judgments on a more discriminating o-5 scale, with o as 'impossible' and 5 as 'good'/perfectly natural",naturalness,Ordinal (Likert),6,Isolation,Written,Not Reported,Not Reported,Not Reported,Not Reported,Yes,Not Reported,Not Reported,Not Reported,Not Reported,Fairly confident,Ordinal,Not Reported,Not Reported,Descriptive only,No,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,Very confident,Published in article,,Not Reported,,Not Reported,,njsobin@utep.edu,,JG
Jarrah_2023_passive_vs_unaccusative,1,Marwan Jarrah,2023.0,Passive vs. unaccusative predicates: A phase-based account,NL & LT,https://doi.org/10.1007/s11049-023-09568-3,acceptability judgement; grammaticality judgement; sentence judgement; syntactic judgement,50,50,50,Not Reported,Not Reported,Not Reported,Gender / Sex,Not Reported,1,1,0,No,0,Within-subjects,,Not Reported,Not Reported,Not Reported,"""all sentences used in this article""",0,0,Not Reported,Very confident,"44 sentences  are listed in the study but unclear whether those in ""background"" etc were shown too and some have multiple options",unclear - unclear number of initial items and unclear how many were presented again (second time with larger context),Not Reported,No,Syntax,Not Reported,Not Reported,Not Reported,Yes,Fairly confident,They were asked to provide acceptabiliry judgments,Not Reported,Not Reported,Not reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Very confident,Other,Not Reported,Not Reported,Not Reported,No,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,Very confident,Published in article,,Not Reported,,Not Reported,,m.jarrah@ju.edu.jo,The data were not analysed at all!,DD
"Mucha, Renans, Romoli_2022_sequence_of_tense",1,Anne Mucha; Agata Renans; Jacopo Romoli,2022.0,Sequence of tense and cessation implicatures: evidence from Polish,NL & LT,https://doi.org/10.1007/s11049-022-09545-2,acceptability judgment; ordinal ratings; sentence judgment; syntactic judgment,66,63,,Not Reported,Online platform,Paid directly,Gender / Sex; Age; Education; Language background,English,3,1 and 2,4,Yes,24,Within-subjects,,Not Reported,Not Reported,Not Reported,60,0,0,Not Reported,Fairly confident,96,24,36,Yes,Syntax,Fully Constructed,Not Reported,Not Reported,Yes,Fairly confident,The participants’ task was to judge the accuracy of Ben’s report on a scale from 1 to 7: 7 means that his report is fully accurate and 1 means that his report is totally inaccurate. ,other,Ordinal (Likert),7,Isolation,Written,Not Reported,Not Reported,Computer-based,Yes,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Fairly confident,Ordinal,Not Reported,R,Mixed-Effects Regression,No,Participant; Items,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,Fairly confident,Published in supplement,,Not Reported,,Not Reported,,annemucha@googlemail.com,In principle I should report the English and Polish experiment (1 & 2) separately but the excluded participants are reported for the two studies together  and the data is analysed together so I have let the studies here as one),DD
"Mucha, Renans, Romoli_2022_sequence_of_tense",3,Anne Mucha; Agata Renans; Jacopo Romoli,2022.0,Sequence of tense and cessation implicatures: evidence from Polish,NL & LT,https://doi.org/10.1007/s11049-022-09545-2,acceptability judgment; ordinal ratings; sentence judgment; syntactic judgment,52,37,,Not Reported,Online platform,Paid directly,Gender / Sex; Age; Education; Language background,Polish,3,3,4,Yes,24,Within-subjects,,Not Reported,Not Reported,Not Reported,60,3,0,Not Reported,Fairly confident,96,24,36,Yes,Syntax,Fully Constructed,Not Reported,Not Reported,Yes,Fairly confident,Their task was to judge to which extent one can deduce the latter from the former on a scale from 1 (“one cannot deduce at all”) – 7 (“with whole certainty one can deduce”). ,other,Ordinal (Likert),7,Other baseline,Written,Not Reported,Not Reported,Computer-based,Yes,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Fairly confident,Ordinal,Not Reported,R,Mixed-Effects Regression,No,Participant; Items,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,Fairly confident,Published in supplement,,Not Reported,,Not Reported,,annemucha@googlemail.com,,DD
"Hartmann, Heycock_2022_person_effects_in",1,Jutta M. Hartmann; Caroline Heycock,2022.0,Person effects in agreement with Icelandic low nominatives: An experimental investigation,NL & LT,https://doi.org/10.1007/s11049-022-09564-z,acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating; magnitude estimation; naturalness judgment; naturalness rating; sentence judgment; syntactic judgment; thermometer rating(s),60,59,,Not Reported,Personal network,Other incentive,Language background,Icelandic,2,1,6,Yes,18,Between-subjects,,Not Reported,Blocks,Random,64,0,0,Yes,Fairly confident,54 (18*3),18,46,Yes,Syntax; Morphology,Fully Constructed,Not Reported,Not Reported,Not Reported,Fairly confident,Participants were asked to rate the naturalness of individual examples by providing numerical scores for individual sentences.,naturalness,Continuous,,Magnitude Estimation,Written,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Fairly confident,Continuous,Z-score,R,Mixed-Effects Regression,No,Participant; Items,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,Fairly confident,Not Reported,,Not Reported,,Not Reported,,caroline.heycock@ed.ac.uk,The reference sentences are included but not the targets/fillers? All I can find is a list with target verbs.,DD
"Hartmann, Heycock_2022_person_effects_in",2,Jutta M. Hartmann; Caroline Heycock,2022.0,Person effects in agreement with Icelandic low nominatives: An experimental investigation,NL & LT,https://doi.org/10.1007/s11049-022-09564-z,acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating; magnitude estimation; naturalness judgment; naturalness rating; sentence judgment; syntactic judgment; thermometer rating(s),60,59,,Not Reported,Personal network,Other incentive,Language background,Icelandic,2,1,6,Yes,18,Between-subjects,,Not Reported,Blocks,Random,64,0,0,Yes,Fairly confident,54 (18*3),18,46,Yes,Syntax; Morphology,Fully Constructed,Not Reported,Not Reported,Not Reported,Fairly confident,Participants were asked to rate the naturalness of individual examples by providing numerical scores for individual sentences.,naturalness,Continuous,,Magnitude Estimation,Written,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Fairly confident,Continuous,Z-score,R,Mixed-Effects Regression,No,Participant; Items,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,Fairly confident,Not Reported,,Not Reported,,Not Reported,,caroline.heycock@ed.ac.uk,"The reference sentences are included but not the targets/fillers? All I can find is a list with target verbs.

Note that the filler sentences here are the test sentences for experiment 1, and vice versa. Participants in both experiments are the same, as are details of the task.",DD
Sobin_1997_agreement_default_rules,1,Nicholas Sobin,1997.0,"Agreement, Default Rules, and Grammatical Viruses",Linguistic Inquiry,http://www.jstor.org/stable/4178979,acceptability rating; grammaticality rating; naturalness rating,12,12,12,Linguists (students or otherwise),University affiliation,Not Reported,Language background,English,1,1,36,No,3,Within-subjects,,Not Reported,Intermixed,Random,108,"Some, but not reported how many",0,Not Reported,Not confident at all,108,108,Not Reported,No,Syntax,Not Reported,Not Reported,Not Reported,Not Reported,Not confident at all,"""The informants were first asked to judge the naturalness (not the ""correctness"") of sample pretest items, to acquaint them with the experimental task and to allow them to ask questions about it. They were then asked to make the same naturalness judgments about the items making up the main body of the questionnaire.""",naturalness,Ordinal (Likert),6,Isolation,Written,Not Reported,Not Reported,Not Reported,Not Reported,Yes,Not Reported,Not Reported,Not Reported,Not Reported,Slightly confident,Ordinal,Not Reported,Not Reported,Non-parametric test,No,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,Not confident at all,Not Reported,,Not Reported,,Not Reported,,njsobin@ualr.edu,A sample of the items in available in an Appendix in the article.,LR
Matsuo_1999_reciprocity_and_binding,1,Ayumi Matsuo,1999.0,Reciprocity and Binding in Early Child Grammar,Linguistic Inquiry,http://www.jstor.org/stable/4179064,sentence judgment; syntactic judgment,27,27,Not reported,Other non-students,Mixed,Not Reported,Age,English,3,1,2,No,Not reported,Not Reported,,Not Reported,Not Reported,Not Reported,Not reported,0,0,Not Reported,Slightly confident,Not reported,Not reported,Not Reported,No,Syntax,Not Reported,Not Reported,Not Reported,Not Reported,Slightly confident,"""In my experiments children reward the puppet, a dog, with his favorite food (a hot dog) if he says the right thing, but they punish him by giving him an onion if he says the wrong thing.""",other,Dichotomous (Binary),2,Isolation,Audio,Not Reported,Not Reported,Spoken/Signed,Not Reported,Yes,Not Reported,Not Reported,Not Reported,Not Reported,Slightly confident,Dichotomous,Not Reported,Not Reported,ANOVA,No,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,Slightly confident,Not Reported,,Not Reported,,Not Reported,,,,LR
Matsuo_1999_reciprocity_and_binding,2,Ayumi Matsuo,1999.0,Reciprocity and Binding in Early Child Grammar,Linguistic Inquiry,http://www.jstor.org/stable/4179064,sentence judgment; syntactic judgment,27,27,Not reported,Other non-students,Mixed,Not Reported,Age,English,3,2,2,No,Not reported,Not Reported,,Not Reported,Not Reported,Not Reported,Not reported,0,0,Not Reported,Slightly confident,Not reported,Not reported,Not Reported,No,Syntax,Not Reported,Not Reported,Not Reported,Not Reported,Slightly confident,"""In my experiments children reward the puppet, a dog, with his favorite food (a hot dog) if he says the right thing, but they punish him by giving him an onion if he says the wrong thing.""",other,Dichotomous (Binary),2,Isolation,Audio,Not Reported,Not Reported,Spoken/Signed,Not Reported,Yes,Not Reported,Not Reported,Not Reported,Not Reported,Slightly confident,Dichotomous,Not Reported,Not Reported,ANOVA,No,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,Slightly confident,Not Reported,,Not Reported,,Not Reported,,,,LR
Matsuo_1999_reciprocity_and_binding,3,Ayumi Matsuo,1999.0,Reciprocity and Binding in Early Child Grammar,Linguistic Inquiry,http://www.jstor.org/stable/4179064,sentence judgment; syntactic judgment,27,27,Not reported,Other non-students,Mixed,Not Reported,Age,English,3,3,?,No,Not reported,Not Reported,,Not Reported,Not Reported,Not Reported,Not reported,0,0,Not Reported,Slightly confident,Not reported,Not reported,Not Reported,No,Syntax,Not Reported,Not Reported,Not Reported,Not Reported,Slightly confident,"""In my experiments children reward the puppet, a dog, with his favorite food (a hot dog) if he says the right thing, but they punish him by giving him an onion if he says the wrong thing.""",other,Dichotomous (Binary),2,Isolation,Audio,Not Reported,Not Reported,Spoken/Signed,Not Reported,Yes,Not Reported,Not Reported,Not Reported,Not Reported,Slightly confident,Dichotomous,Not Reported,Not Reported,ANOVA,No,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,Slightly confident,Not Reported,,Not Reported,,Not Reported,,,,LR
